lemma	sourceScope
a	cet4
abandon	cet4
ability	cet4
able	cet4
aboard	cet4
abolish	cet4
abolition	cet4
about	cet4
above	cet4
abroad	cet4
absence	cet4
absent	cet4
absolute	cet4
absorb	cet4
absorption	cet4
abstract	cet4
abundance	cet4
abundant	cet4
abuse	cet4
abusive	cet4
academic	cet4
academician	cet4
academy	cet4
accelerate	cet4
acceleration	cet4
accent	cet4
accept	cet4
acceptable	cet4
acceptance	cet4
access	cet4
accessible	cet4
accident	cet4
accidental	cet4
accommodate	cet4
accommodation	cet4
accompany	cet4
accomplish	cet4
accomplishment	cet4
accord	cet4
accordance	cet4
accordingly	cet4
accordingto	cet4
account	cet4
accountability	cet4
accountable	cet4
accountancy	cet4
accountant	cet4
accounting	cet4
accumulate	cet4
accumulation	cet4
accumulative	cet4
accuracy	cet4
accurate	cet4
accusation	cet4
accuse	cet4
accustom	cet4
accustomed	cet4
ace	cet4
ache	cet4
achieve	cet4
achievement	cet4
acid	cet4
acidity	cet4
acknowledge	cet4
acknowledgement	cet4
acquaint	cet4
acquaintance	cet4
acquire	cet4
acquisition	cet4
acre	cet4
across	cet4
act	cet4
acting	cet4
action	cet4
active	cet4
activist	cet4
activity	cet4
actor	cet4
actress	cet4
actual	cet4
actually	cet4
acute	cet4
ad	cet4
adapt	cet4
adaptation	cet4
adaptive	cet4
add	cet4
addict	cet4
addiction	cet4
addictive	cet4
addition	cet4
additional	cet4
address	cet4
adequacy	cet4
adequate	cet4
adequately	cet4
adjective	cet4
adjust	cet4
adjustment	cet4
administer	cet4
administrate	cet4
administration	cet4
administrative	cet4
admirable	cet4
admiration	cet4
admire	cet4
admission	cet4
admit	cet4
admittance	cet4
admittedly	cet4
adopt	cet4
adoption	cet4
adult	cet4
adulthood	cet4
advance	cet4
advanced	cet4
advancement	cet4
advantage	cet4
advantageous	cet4
adventure	cet4
adventurer	cet4
adventurous	cet4
adverb	cet4
advertise	cet4
advertisement	cet4
advertising	cet4
advice	cet4
advisable	cet4
advise	cet4
advisor	cet4
advisory	cet4
advocacy	cet4
advocate	cet4
aerial	cet4
aeroplane	cet4
affair	cet4
affect	cet4
affection	cet4
affectionate	cet4
affluence	cet4
affluent	cet4
afford	cet4
affordability	cet4
affordable	cet4
afraid	cet4
after	cet4
afternoon	cet4
afterward	cet4
again	cet4
against	cet4
age	cet4
aged	cet4
agency	cet4
agenda	cet4
agent	cet4
aggression	cet4
aggressive	cet4
aging	cet4
ago	cet4
agree	cet4
agreeable	cet4
agreement	cet4
agricultural	cet4
agriculture	cet4
ahead	cet4
aid	cet4
aids	cet4
aim	cet4
air	cet4
air-conditioner	cet4
air-conditioning	cet4
aircraft	cet4
airline	cet4
airplane	cet4
airport	cet4
aisle	cet4
al	cet4
alarm	cet4
album	cet4
alcohol	cet4
alcoholic	cet4
alert	cet4
algebra	cet4
alike	cet4
alive	cet4
all	cet4
allegation	cet4
allege	cet4
alleged	cet4
allegedly	cet4
alley	cet4
alliance	cet4
allow	cet4
allowance	cet4
ally	cet4
almost	cet4
alone	cet4
along	cet4
alongside	cet4
aloud	cet4
alphabet	cet4
alphabetic	cet4
already	cet4
also	cet4
alter	cet4
alteration	cet4
alternative	cet4
although	cet4
altitude	cet4
altogether	cet4
aluminum	cet4
always	cet4
am	cet4
amateur	cet4
amaze	cet4
amazement	cet4
amazing	cet4
ambassador	cet4
ambition	cet4
ambitious	cet4
ambulance	cet4
amid	cet4
among	cet4
amount	cet4
ample	cet4
amuse	cet4
amusement	cet4
amusing	cet4
an	cet4
analysis	cet4
analyst	cet4
analytic	cet4
analyze	cet4
ancestor	cet4
ancestry	cet4
anchor	cet4
anchorage	cet4
ancient	cet4
and	cet4
anew	cet4
angel	cet4
anger	cet4
angle	cet4
angry	cet4
animal	cet4
ankle	cet4
anniversary	cet4
announce	cet4
announcement	cet4
annoy	cet4
annoyance	cet4
annual	cet4
another	cet4
answer	cet4
ant	cet4
anticipate	cet4
anticipation	cet4
antique	cet4
anxiety	cet4
anxious	cet4
any	cet4
anybody	cet4
anyhow	cet4
anyone	cet4
anything	cet4
anyway	cet4
anywhere	cet4
apart	cet4
apartment	cet4
apologetic	cet4
apologize	cet4
apology	cet4
app	cet4
apparatus	cet4
apparent	cet4
apparently	cet4
appeal	cet4
appealing	cet4
appear	cet4
appearance	cet4
appetite	cet4
applaud	cet4
applause	cet4
apple	cet4
appliance	cet4
applicable	cet4
applicant	cet4
application	cet4
apply	cet4
appoint	cet4
appointment	cet4
appreciate	cet4
appreciation	cet4
appreciative	cet4
approach	cet4
appropriate	cet4
appropriation	cet4
approval	cet4
approve	cet4
approximate	cet4
approximately	cet4
approximation	cet4
april	cet4
aptitude	cet4
arbitrarily	cet4
arbitrary	cet4
architect	cet4
architecture	cet4
area	cet4
arguable	cet4
argue	cet4
argument	cet4
argumentation	cet4
argumentative	cet4
arise	cet4
arithmetic	cet4
arm	cet4
armament	cet4
army	cet4
around	cet4
arousal	cet4
arouse	cet4
arrange	cet4
arrangement	cet4
arrest	cet4
arrival	cet4
arrive	cet4
arrow	cet4
art	cet4
article	cet4
artificial	cet4
artist	cet4
artistic	cet4
artistically	cet4
as	cet4
ash	cet4
ashamed	cet4
ashore	cet4
aside	cet4
ask	cet4
asleep	cet4
aspect	cet4
ass	cet4
assemble	cet4
assembly	cet4
assess	cet4
assessment	cet4
asset	cet4
assign	cet4
assignment	cet4
assist	cet4
assistance	cet4
assistant	cet4
associate	cet4
association	cet4
assume	cet4
assumption	cet4
assurance	cet4
assure	cet4
astonish	cet4
astonishment	cet4
astronaut	cet4
astronomer	cet4
astronomical	cet4
astronomy	cet4
at	cet4
athlete	cet4
athletic	cet4
atmosphere	cet4
atmospheric	cet4
atom	cet4
atomic	cet4
atop	cet4
attach	cet4
attachment	cet4
attack	cet4
attain	cet4
attainment	cet4
attempt	cet4
attend	cet4
attendance	cet4
attendant	cet4
attention	cet4
attentive	cet4
attic	cet4
attitude	cet4
attorney	cet4
attract	cet4
attraction	cet4
attractive	cet4
attributable	cet4
attribute	cet4
attributive	cet4
audience	cet4
audio	cet4
auditorium	cet4
august	cet4
aunt	cet4
auntie	cet4
authentic	cet4
authenticity	cet4
author	cet4
authoritative	cet4
authority	cet4
authorization	cet4
authorize	cet4
auto	cet4
automate	cet4
automatic	cet4
automatically	cet4
automation	cet4
autumn	cet4
availability	cet4
available	cet4
avenue	cet4
average	cet4
aviation	cet4
avoid	cet4
avoidance	cet4
await	cet4
awake	cet4
award	cet4
aware	cet4
awareness	cet4
away	cet4
awe	cet4
awesome	cet4
awful	cet4
awkward	cet4
ax	cet4
axis	cet4
baby	cet4
babyboom	cet4
babyboomer	cet4
bachelor	cet4
back	cet4
background	cet4
backup	cet4
backward	cet4
backwards	cet4
backyard	cet4
bacon	cet4
bacteria	cet4
bad	cet4
badge	cet4
badly	cet4
badminton	cet4
bag	cet4
baggage	cet4
bail	cet4
bait	cet4
bake	cet4
bakery	cet4
balance	cet4
balcony	cet4
ball	cet4
ballet	cet4
balloon	cet4
ballot	cet4
bamboo	cet4
ban	cet4
banana	cet4
band	cet4
bandage	cet4
bang	cet4
bank	cet4
banker	cet4
banking	cet4
banknote	cet4
bankrupt	cet4
bankruptcy	cet4
banner	cet4
banquet	cet4
bar	cet4
barbecue	cet4
barber	cet4
bare	cet4
barely	cet4
bargain	cet4
bark	cet4
barrel	cet4
barrier	cet4
base	cet4
baseball	cet4
basement	cet4
basic	cet4
basically	cet4
basin	cet4
basis	cet4
basket	cet4
basketball	cet4
bat	cet4
batch	cet4
bath	cet4
bathe	cet4
bathroom	cet4
battalion	cet4
battery	cet4
battle	cet4
bay	cet4
bbq	cet4
be	cet4
beach	cet4
beam	cet4
bean	cet4
bear	cet4
beard	cet4
bearing	cet4
beast	cet4
beat	cet4
beautiful	cet4
beautify	cet4
beauty	cet4
because	cet4
become	cet4
bed	cet4
bedding	cet4
bee	cet4
beef	cet4
beer	cet4
before	cet4
beforehand	cet4
beg	cet4
beggar	cet4
begin	cet4
beginning	cet4
behalf	cet4
behave	cet4
behavior	cet4
behavioral	cet4
behind	cet4
being	cet4
belief	cet4
believe	cet4
bell	cet4
belly	cet4
belong	cet4
belongings	cet4
beloved	cet4
below	cet4
belt	cet4
bench	cet4
bend	cet4
beneath	cet4
beneficial	cet4
beneficiary	cet4
benefit	cet4
berry	cet4
beside	cet4
besides	cet4
best	cet4
best-seller	cet4
best-selling	cet4
bet	cet4
betray	cet4
betrayal	cet4
better	cet4
between	cet4
beverage	cet4
beyond	cet4
bias	cet4
bible	cet4
biblical	cet4
bicycle	cet4
bid	cet4
big	cet4
bike	cet4
bill	cet4
billion	cet4
billionaire	cet4
bin	cet4
bind	cet4
biochemical	cet4
biochemist	cet4
biochemistry	cet4
biographer	cet4
biographical	cet4
biography	cet4
biological	cet4
biologist	cet4
biology	cet4
biotechnology	cet4
bird	cet4
birth	cet4
birthday	cet4
biscuit	cet4
bit	cet4
bitch	cet4
bite	cet4
bitter	cet4
black	cet4
blackboard	cet4
blade	cet4
blame	cet4
blank	cet4
blanket	cet4
blast	cet4
bleed	cet4
blend	cet4
bless	cet4
blessing	cet4
blind	cet4
block	cet4
blog	cet4
blond	cet4
blood	cet4
bloody	cet4
bloom	cet4
blossom	cet4
blouse	cet4
blow	cet4
blue	cet4
blueprint	cet4
blur	cet4
board	cet4
boast	cet4
boastful	cet4
boat	cet4
bodily	cet4
body	cet4
boil	cet4
boiler	cet4
bold	cet4
bolt	cet4
bomb	cet4
bond	cet4
bondage	cet4
bone	cet4
bonus	cet4
bony	cet4
book	cet4
boom	cet4
boost	cet4
boot	cet4
booth	cet4
border	cet4
bore	cet4
boring	cet4
born	cet4
borrow	cet4
boss	cet4
both	cet4
bother	cet4
bottle	cet4
bottom	cet4
bounce	cet4
bound	cet4
boundary	cet4
bow	cet4
bowel	cet4
bowl	cet4
box	cet4
boxing	cet4
boy	cet4
bracket	cet4
brag	cet4
brain	cet4
brake	cet4
branch	cet4
brand	cet4
brand-new	cet4
brandy	cet4
brass	cet4
brave	cet4
bravery	cet4
bread	cet4
breadth	cet4
break	cet4
breakdown	cet4
breakfast	cet4
breakthrough	cet4
breast	cet4
breath	cet4
breathe	cet4
breed	cet4
breeze	cet4
bribe	cet4
bribery	cet4
brick	cet4
bride	cet4
bridegroom	cet4
bridge	cet4
brief	cet4
briefcase	cet4
briefing	cet4
bright	cet4
brighten	cet4
brilliance	cet4
brilliant	cet4
bring	cet4
broad	cet4
broadcast	cet4
broaden	cet4
brochure	cet4
broke	cet4
broker	cet4
broom	cet4
brother	cet4
brow	cet4
brown	cet4
browse	cet4
browser	cet4
brunch	cet4
brush	cet4
brutal	cet4
brutality	cet4
bubble	cet4
buck	cet4
bucket	cet4
buckle	cet4
bud	cet4
buddy	cet4
budget	cet4
budgetary	cet4
buffet	cet4
bug	cet4
build	cet4
building	cet4
bulb	cet4
bulk	cet4
bulky	cet4
bull	cet4
bullet	cet4
bulletin	cet4
bully	cet4
bump	cet4
bumper	cet4
bunch	cet4
bundle	cet4
burden	cet4
bureau	cet4
burger	cet4
burial	cet4
burn	cet4
burst	cet4
bury	cet4
bus	cet4
bush	cet4
bushy	cet4
business	cet4
businessman	cet4
busy	cet4
but	cet4
butcher	cet4
butter	cet4
butterfly	cet4
button	cet4
buy	cet4
buyer	cet4
by	cet4
bypass	cet4
bystander	cet4
cab	cet4
cabbage	cet4
cabin	cet4
cabinet	cet4
cable	cet4
cafe	cet4
cafeteria	cet4
cage	cet4
cake	cet4
calculate	cet4
calculating	cet4
calculation	cet4
calculator	cet4
calendar	cet4
calf	cet4
call	cet4
calling	cet4
calm	cet4
calorie	cet4
camel	cet4
camera	cet4
camp	cet4
campaign	cet4
campus	cet4
can	cet4
canal	cet4
cancel	cet4
cancellation	cet4
cancer	cet4
candidacy	cet4
candidate	cet4
candle	cet4
candy	cet4
cane	cet4
canteen	cet4
cap	cet4
capability	cet4
capable	cet4
capacity	cet4
capital	cet4
capitalism	cet4
capitalist	cet4
captain	cet4
capture	cet4
car	cet4
carbon	cet4
card	cet4
cardboard	cet4
care	cet4
career	cet4
careful	cet4
careless	cet4
cargo	cet4
carpenter	cet4
carpet	cet4
carriage	cet4
carrier	cet4
carrot	cet4
carry	cet4
cart	cet4
cartoon	cet4
cartoonist	cet4
case	cet4
cash	cet4
cashier	cet4
cast	cet4
castle	cet4
casual	cet4
cat	cet4
catalog	cet4
catch	cet4
category	cet4
cater	cet4
cattle	cet4
cause	cet4
